"","Global_Sales"
"1",0.41
"5",0.08
"10",0.08
"11",0.08
"12",0.03
"13",0.03
"20",0.05
"21",0.05
"24",0.59
"25",0.59
"26",0.19
"27",0.19
"28",1.23
"29",1.23
"31",0.47
"32",0.48
"33",0.42
"34",0.43
"35",0.85
"36",0.86
"37",0.66
"38",0.71
"39",0.44
"40",0.47
"42",1.4
"47",0.03
"48",0.03
"61",0.04
"62",0.02
"108",0.13
"111",0.19
"112",0.15
"113",0.15
"114",0.47
"115",0.48
"116",1.55
"117",1.54
"131",0.13
"132",0.13
"133",0.04
"135",0.02
"153",0.12
"155",0.09
"157",0.01
"158",0.06
"159",0.35
"160",0.06
"163",0.23
"164",0.23
"172",0.07
"173",0.07
"174",0.09
"179",0.28
"180",0.8
"181",0.13
"183",0.05
"186",0.15
"187",0.15
"188",0.26
"189",0.26
"195",0.39
"197",0.23
"198",0.22
"199",0.56
"200",0.15
"201",0.15
"202",0.77
"203",0.26
"204",0.07
"205",0.08
"207",0.42
"208",0.13
"209",0.32
"210",0.32
"211",0.15
"212",0.15
"214",0.48
"215",0.01
"223",0.05
"224",0.05
"233",0.3
"234",0.07
"235",0.91
"236",0.91
"237",0.36
"238",0.02
"239",0.02
"240",0.01
"241",0.25
"242",0.16
"243",0.16
"244",0.82
"245",0.82
"246",0.27
"251",0.03
"252",0.03
"255",0.66
"276",0.03
"278",0.06
"279",0.56
"280",0.56
"281",0.15
"282",0.15
"285",0.05
"287",0.17
"288",0.24
"289",0.2
"298",0.27
"301",0.1
"302",0.1
"303",0.1
"311",0.14
"312",0.18
"313",0.17
"314",0.18
"315",0.18
"317",0.43
"318",0.13
"320",0.49
"321",0.13
"323",0.02
"324",0.04
"325",0.12
"326",0.17
"327",0.11
"328",0.35
"330",0.18
"332",0.07
"333",0.2
"336",0.08
"337",0.59
"339",0.02
"340",0.56
"341",0.26
"343",0.03
"345",0.06
"346",0.08
"348",0.17
"349",0.21
"350",0.06
"351",0.17
"352",0.11
"355",0.03
"357",0.2
"360",0.06
"363",0.13
"367",0.01
"371",0.17
"372",0.13
"373",0.12
"374",0.15
"376",0.16
"377",0.09
"383",0.02
"384",0.02
"386",0.02
"387",0.02
"388",0.02
"389",0.02
"392",0.04
"393",0.37
"394",0.55
"396",0.19
"397",0.2
"398",0.49
"399",0.06
"400",0.06
"403",0.22
"409",1.61
"410",3.2
"415",0.13
"416",0.13
"417",0.15
"418",0.15
"437",0.5
"438",0.02
"445",0.07
"454",0.31
"455",0.62
"456",0.62
"467",0.24
"468",0.09
"470",0.49
"471",0.21
"473",0.05
"474",0.05
"476",0.28
"481",0.14
"485",0.33
"490",0.16
"498",0.16
"500",0.1
"503",0.01
"504",0.87
"505",0.59
"510",0.19
"513",0.36
"514",0.36
"515",1.67
"516",0.25
"517",0.23
"522",0.1
"523",0.22
"524",0.11
"525",0.09
"526",0.03
"527",0.03
"528",0.42
"529",0.42
"538",0.45
"541",0.07
"543",0.11
"544",0.11
"551",0.06
"553",0.09
"554",0.89
"555",0.89
"557",0.16
"558",0.53
"559",0.53
"560",0.16
"561",0.1
"563",0.04
"564",0.06
"566",0.01
"567",0.17
"568",0.17
"572",0.02
"575",0.06
"576",0.15
"577",0.11
"583",0.03
"587",0.37
"588",0.37
"589",0.14
"590",0.14
"592",0.02
"593",0.02
"594",0.05
"595",0.05
"606",0.08
"607",0.08
"618",0.04
"619",0.04
"626",0.01
"628",1.26
"633",0.01
"636",0.06
"637",0.18
"638",0.11
"640",0.17
"641",0.18
"642",0.12
"643",0.4
"644",0.4
"645",0.19
"646",0.18
"648",0.21
"649",0.21
"650",0.39
"651",0.38
"652",0.45
"653",0.45
"656",0.14
"662",0.27
"663",0.27
"667",0.05
"668",0.05
"669",0.14
"670",0.14
"672",0.02
"673",0.02
"674",0.13
"675",0.09
"676",0.09
"677",1.42
"678",0.2
"679",0.2
