"","Global_Sales"
"1",0.03
"3",1.24
"5",1.31
"9",0.14
"10",0.03
"11",0.43
"12",1.16
"13",0.67
"14",1.49
"16",1.55
"17",0.92
"30",0.03
"35",0.33
"36",0.31
"42",1.76
"43",0.31
"51",0.41
"52",0.41
"59",0.16
"60",0.2
"62",0.9
"72",1.77
"73",0.09
"74",0.44
"77",0.21
"78",0.12
"80",0.02
"94",0.04
"105",0.48
"106",0.24
"128",0.01
"129",0.02
"198",0.1
"199",0.07
"203",0.74
"204",0.74
"205",0.49
"206",0.49
"213",1.14
"215",0.54
"216",0.54
"225",0.13
"226",0.13
"228",0.14
"229",0.05
"230",0.03
"231",0.08
"232",0.11
"234",0.12
"235",0.14
"236",0.07
"237",0.13
"238",0.06
"239",0.08
"240",0.09
"244",0.67
"245",0.67
"247",0.03
"248",0.03
"249",0.04
"250",0.02
"251",0.04
"252",0.04
"253",0.04
"254",0.04
"255",0.01
"256",0.01
"258",0.19
"259",0.19
"262",0.2
"263",0.2
"264",0.24
"265",0.24
"277",0.2
"278",0.11
"282",0.04
"283",0.26
"284",0.04
"287",0.77
"288",0.77
"293",0.39
"294",0.39
"300",0.11
"301",0.08
"302",0.03
"304",0.11
"305",0.13
"306",0.11
"307",0.13
"308",0.21
"309",0.16
"310",0.03
"311",0.07
"313",1.35
"318",0.07
"319",0.07
"326",0.11
"327",0.05
"328",0.79
"329",0.79
"349",0.34
"350",0.34
"351",0.03
"352",0.05
"355",0.08
"356",0.22
"357",0.22
"358",0.18
"365",0.12
"366",0.12
"367",0.1
"368",0.06
"369",0.06
"370",0.04
"371",0.23
"376",0.07
"377",0.07
"388",0.09
"391",0.1
"392",0.08
"406",0.21
"407",0.21
"408",0.17
"409",0.18
"410",0.27
"411",0.07
"413",0.03
"417",0.63
"418",0.16
"419",0.27
"423",0.02
"424",0.04
"428",0.06
"430",0.02
"432",0.08
"433",0.06
"435",0.04
"443",0.05
"444",0.45
"449",0.01
"450",0.01
"451",0.01
"454",0.04
"462",0.28
"463",0.02
"471",0.17
"472",0.17
"475",0.1
"480",1.28
"482",0.44
"483",0.3
"484",0.1
"486",0.85
"487",0.3
"489",0.24
"491",0.07
"492",0.13
"494",0.81
"496",0.56
"497",0.56
"499",0.24
"504",0.16
"505",0.05
"506",0.05
"507",0.06
"508",0.08
"509",0.14
"510",0.06
"511",0.23
"512",4.83
"514",5.55
"516",0.11
"517",0.12
"518",0.01
"519",0.04
"526",0.57
"527",5.57
"528",5.3
"536",0.13
"538",0.28
"539",0.94
"540",6.5
"541",0.36
"542",5.3
"543",1.47
"544",0.69
"545",3.89
"546",2.74
"547",0.29
"548",3.34
"549",2.32
"551",4.06
"552",2.47
"553",0.26
"554",3.6
"555",1.44
"556",0.79
"557",0.27
"558",0.05
"559",0.27
"561",1.26
"562",0.59
"563",2.85
"565",3.53
"569",0.76
"570",4.24
"571",4.22
"574",0.1
"575",1.37
"576",1.05
"577",0.56
"578",4.14
"579",3.58
"580",0.14
"581",0.22
"582",0.22
"589",0.04
"590",0.04
"592",0.13
"593",0.13
"604",0.03
"606",0.09
"607",0.09
"608",0.09
"609",0.1
"610",0.1
"611",0.11
"612",0.11
"614",0.04
"615",0.04
"616",0.11
"617",0.11
"623",0.31
"624",0.31
"627",0.43
"628",0.26
"635",0.07
"636",0.5
"637",0.15
"638",0.15
"640",0.23
"641",0.22
"642",0.03
"643",0.09
"645",0.07
"646",0.41
"648",0.45
"655",0.08
"660",0.34
"662",0.42
"663",0.26
"664",0.14
"670",0.17
"672",0.04
"673",0.01
"676",0.01
"681",0.02
"683",0.01
"684",0.03
"685",0.06
"686",0.24
"687",0.24
"689",0.05
"703",0.03
"704",0.07
"720",0.05
"721",0.5
"722",0.17
"724",0.16
"725",0.17
"726",0.15
"727",1.39
"728",0.43
"729",0.24
"730",0.68
"731",0.24
"732",0.13
"733",0.01
"739",0.18
"749",0.34
"750",0.34
"751",0.02
"753",0.03
"754",0.04
"755",0.01
"756",0.02
"757",0.04
"758",0.06
"759",0.01
"760",0.01
"762",0.09
"769",0.44
"770",0.22
"773",0.59
"774",0.59
"775",0.43
"776",0.43
"777",0.05
"778",0.12
"780",0.09
"781",0.04
"785",0.11
"786",0.17
"787",0.15
"788",0.56
"789",0.21
"791",0.09
"792",0.17
"793",0.17
