"","Global_Sales"
"3",0.45
"6",0.09
"14",0.31
"23",0.21
"24",0.22
"29",0.63
"30",0.63
"32",2.79
"51",1.05
"52",1.05
"80",0.12
"115",0.03
"116",0.03
"130",0.03
"135",0.07
"136",0.07
"137",1.63
"138",0.05
"139",0.63
"140",0.63
"142",0.13
"143",0.13
"145",0.7
"159",0.14
"160",0.28
"161",0.05
"178",0.71
"197",0.92
"198",0.92
"204",3.65
"205",0.01
"206",0.01
"207",0.33
"208",0.78
"210",1.49
"213",0.14
"222",0.02
"223",0.02
"243",0.32
"244",0.32
"245",0.22
"246",0.22
"247",0.25
"248",0.25
"250",0.24
"251",0.24
"252",0.28
"253",0.29
"254",0.18
"255",0.18
"264",0.25
"272",0.37
"273",0.28
"279",0.21
"281",0.43
"282",0.06
"283",0.26
"286",0.14
"300",0.02
"301",0.02
"303",0.15
"304",0.56
"315",0.05
"316",0.05
"318",0.47
"345",0.03
"349",0.13
"350",0.13
"360",0.19
"368",0.05
"381",0.4
"388",0.06
"390",0.63
"393",0.01
"409",0.01
"410",0.02
"411",0.14
"419",0.64
"420",0.64
"421",1.23
"422",1.23
"425",0.04
"426",0.04
"427",0.13
"428",0.13
"430",0.1
"431",0.1
"432",0.09
"433",0.09
"435",0.93
"436",0.93
"439",0.85
"440",0.85
"444",0.28
"445",0.28
"446",0.89
"447",0.89
"448",0.43
"449",0.47
"450",0.26
"451",0.26
"452",0.13
"453",0.13
"454",0.37
"455",0.41
"456",0.4
"457",0.43
"459",1.27
"460",1.27
"466",0.42
"467",0.42
"470",0.04
"474",0.14
"475",0.15
"476",0.15
"484",0.11
"485",0.05
"486",0.05
"496",0.32
"521",0.03
"522",0.03
"523",0.03
"524",0.03
"529",0.33
"530",0.73
"531",0.73
"532",0.34
"533",0.34
"534",1.43
"535",1.43
"540",0.09
"541",0.09
"545",0.22
"546",0.1
"547",0.08
"548",0.13
"549",0.09
"559",0.08
"560",0.08
"561",0.05
"562",0.05
"563",0.1
"564",0.1
"565",0.02
"566",0.02
"581",0.77
"582",0.77
"584",0.02
"585",0.02
"586",0.02
"596",0.19
"597",6.82
"599",7.58
"601",1.36
"603",7.13
"605",1.11
"607",4.83
"608",0.65
"609",0.64
"610",1.73
"611",1.73
"612",0.59
"613",5.42
"614",1.23
"618",0.42
"619",0.42
"620",0.5
"621",0.5
"623",0.43
"624",0.45
"625",0.44
"626",0.45
"627",0.47
"628",0.48
"629",0.64
"630",0.64
"631",0.15
"632",0.15
"635",0.46
"636",0.46
"638",0.01
"639",0.05
"640",0.05
"644",0.73
"646",3.56
"649",0.15
"652",0.1
"678",4.23
"684",0.97
"686",0.12
"687",0.03
"688",0.21
"690",0.18
"691",0.15
"694",0.19
"695",0.19
"696",0.08
"697",0.08
"699",0.05
"700",0.06
"701",0.11
"711",0.47
"712",0.44
"713",0.24
"714",0.17
"718",0.1
"719",0.1
"721",0.18
"722",0.17
"723",0.27
"724",0.33
"725",0.16
"726",0.16
"731",3.02
"733",0.48
"734",0.98
"735",0.24
"736",0.52
"737",1.47
"741",0.62
"743",0.03
"744",0.03
"750",1.75
"754",0.12
"755",0.17
"763",0.7
"764",0.7
"765",0.27
"766",0.27
"768",0.65
"769",0.65
"770",0.14
"771",0.14
"772",1.19
"774",0.14
"775",0.14
"776",0.07
"779",0.04
"780",0.1
"782",0.15
"783",0.08
"784",1.43
"786",1.67
"792",0.66
"793",0.46
"794",0.06
"795",0.13
"796",0.13
"797",0.51
"798",0.51
"800",1.08
"803",0.11
"804",0.11
"808",0.05
"809",0.12
"813",0.2
"815",0.18
"816",0.41
"819",0.31
"821",0.1
"822",0.1
"823",0.36
"824",0.36
"825",0.09
"826",0.09
"828",0.1
"829",0.1
"833",0.15
"834",0.13
"835",0.07
"836",0.13
"839",0.24
"846",1.46
"847",1.46
"848",0.01
"850",3.07
"852",1.13
"859",5.27
"860",1.56
"861",2.19
"862",2.04
"864",9.3
"866",1.23
"867",5.15
"869",0.77
"870",3.51
"872",1.87
"873",6.59
"876",1.52
"877",0.28
"879",1.11
"883",1.34
"884",1.34
"885",0.01
"886",0.56
"887",0.97
"888",0.97
"890",3.91
"894",1.03
"895",0.25
"899",1.05
"900",1.06
"901",0.12
"902",0.12
"903",0.46
"904",0.46
"905",0.38
"906",0.38
"907",0.56
"908",0.57
"909",0.61
"911",0.15
"913",0.06
"918",0.09
"928",0.03
"929",0.16
"930",0.06
"937",0.02
"938",0.02
"939",0.09
"940",0.09
"947",0.02
"952",0.04
"953",0.04
"956",0.05
"962",0.05
"963",0.05
"966",0.05
"967",0.07
"968",0.04
"978",0.05
"979",0.05
"984",0.04
"985",0.04
"988",0.29
"989",0.29
"998",0.03
"999",0.03
"1006",0.12
"1007",0.12
"1014",0.12
"1015",0.25
"1017",0.41
"1018",0.02
"1022",0.09
"1034",0.5
"1049",0.21
"1050",0.21
"1051",0.07
"1052",0.09
"1053",0.1
"1054",0.08
"1055",0.42
"1067",2.82
"1069",0.03
"1070",0.01
"1084",0.06
"1085",0.06
"1087",0.02
"1088",0.1
"1089",0.1
"1091",0.16
"1092",0.16
"1112",0.13
"1113",0.13
"1116",0.08
"1117",0.08
"1118",0.05
"1119",0.05
"1120",0.1
"1121",0.1
"1122",0.03
"1123",0.03
"1124",0.06
"1125",0.06
"1126",0.11
"1127",0.11
"1128",1.23
"1129",1.23
"1130",0.15
"1131",0.15
"1133",0.32
"1134",0.32
"1135",0.58
"1136",0.68
"1137",0.69
"1138",0.52
"1145",0.07
"1146",0.07
"1147",0.05
"1148",0.05
"1151",0.09
"1152",0.09
"1156",0.31
"1157",0.31
"1159",0.36
"1160",0.36
"1163",0.31
"1164",0.31
"1166",1.2
"1167",1.2
"1172",0.03
"1176",0.04
"1177",0.04
"1178",0.11
"1179",0.13
"1180",0.02
"1181",0.04
"1182",0.06
"1185",0.05
"1187",0.02
"1188",0.02
"1189",0.05
"1192",0.87
"1195",0.21
"1196",0.53
"1199",0.58
"1201",0.58
"1215",0.01
"1223",0.91
"1225",0.17
"1229",0.04
"1238",0.31
"1239",0.31
"1241",0.01
"1255",0.02
"1272",0.28
"1273",0.28
"1276",0.32
"1277",0.32
"1281",0.03
"1284",0.26
"1285",0.44
"1294",0.11
"1295",0.02
"1297",0.07
"1312",0.09
"1313",0.09
"1315",0.4
"1316",0.4
"1317",0.07
"1318",0.07
"1319",0.15
"1320",0.15
"1321",0.25
"1322",0.25
"1323",0.19
"1325",0.39
"1326",0.08
"1327",0.1
"1328",0.38
"1329",0.02
"1330",0.17
"1331",0.19
"1332",0.28
"1333",0.12
"1335",1.5
"1342",0.12
"1343",0.13
"1346",0.06
"1360",0.04
"1361",0.03
"1372",0.08
"1380",1.85
"1382",0.93
"1383",0.46
"1385",0.62
"1386",3.64
"1388",2.78
"1400",0.03
"1401",0.03
"1408",0.23
"1409",0.23
"1417",0.42
"1418",0.09
"1420",0.41
"1431",0.05
"1432",0.05
"1437",0.08
"1439",1.08
"1440",1.08
"1451",0.05
"1454",0.3
"1456",0.25
"1459",1.1
"1460",1.1
"1468",0.04
"1484",0.72
"1485",0.72
"1487",0.02
"1488",0.02
"1490",0.01
"1491",0.02
"1492",0.02
"1493",0.02
"1494",0.02
"1507",1.76
"1518",0.58
"1519",1.64
"1520",1.77
"1522",0.58
"1523",1.96
"1525",1.44
"1527",2.96
"1528",0.73
"1529",1.04
"1530",2.27
"1531",1.82
